neuron_id,neuron_type,partner_id,connection_type
720575940630610042,DNp32,720575940621746676,upstream
720575940630610042,DNp32,720575940617425593,upstream
720575940630610042,DNp32,720575940619537201,upstream
720575940630610042,DNp32,720575940629845559,upstream
720575940630610042,DNp32,720575940630845763,upstream
720575940630610042,DNp32,720575940614284542,upstream
720575940630610042,DNp32,720575940629955372,upstream
720575940630610042,DNp32,720575940616056114,upstream
720575940630610042,DNp32,720575940621957011,upstream
720575940630610042,DNp32,720575940629144987,upstream
720575940630610042,DNp32,720575940616157474,upstream
720575940630610042,DNp32,720575940624743096,upstream
720575940630610042,DNp32,720575940632216928,upstream
720575940630610042,DNp32,720575940625355364,upstream
720575940630610042,DNp32,720575940638840629,upstream
720575940630610042,DNp32,720575940623510140,upstream
720575940630610042,DNp32,720575940630250860,upstream
720575940630610042,DNp32,720575940629127927,upstream
720575940630610042,DNp32,720575940624448138,upstream
720575940630610042,DNp32,720575940635111449,upstream
720575940630610042,DNp32,720575940632820307,upstream
720575940630610042,DNp32,720575940620919905,upstream
720575940630610042,DNp32,720575940625760912,upstream
720575940630610042,DNp32,720575940616285151,upstream
720575940630610042,DNp32,720575940612678637,upstream
720575940630610042,DNp32,720575940621895382,upstream
720575940630610042,DNp32,720575940606641842,upstream
720575940630610042,DNp32,720575940616376891,upstream
720575940630610042,DNp32,720575940622227213,upstream
720575940630610042,DNp32,720575940635196779,upstream
720575940630610042,DNp32,720575940610282981,upstream
720575940630610042,DNp32,720575940637332851,upstream
720575940630610042,DNp32,720575940617763099,upstream
720575940630610042,DNp32,720575940623598058,upstream
720575940630610042,DNp32,720575940630944843,upstream
720575940630610042,DNp32,720575940622547421,upstream
720575940630610042,DNp32,720575940629531351,upstream
720575940630610042,DNp32,720575940637570014,upstream
720575940630610042,DNp32,720575940639331829,upstream
720575940630610042,DNp32,720575940638764403,upstream
720575940630610042,DNp32,720575940611502309,upstream
720575940630610042,DNp32,720575940639417728,upstream
720575940630610042,DNp32,720575940631250232,upstream
720575940630610042,DNp32,720575940621774874,upstream
720575940630610042,DNp32,720575940614659690,upstream
720575940630610042,DNp32,720575940621761263,upstream
720575940630610042,DNp32,720575940638681919,upstream
720575940630610042,DNp32,720575940623865417,upstream
720575940630610042,DNp32,720575940637975615,upstream
720575940630610042,DNp32,720575940616273631,upstream
720575940630610042,DNp32,720575940625237891,upstream
720575940630610042,DNp32,720575940616564853,upstream
720575940630610042,DNp32,720575940625790352,upstream
720575940630610042,DNp32,720575940623242900,upstream
720575940630610042,DNp32,720575940614326162,upstream
720575940630610042,DNp32,720575940630291671,upstream
720575940630610042,DNp32,720575940611091524,upstream
720575940630610042,DNp32,720575940623691619,upstream
720575940630610042,DNp32,720575940619940693,upstream
720575940630610042,DNp32,720575940627383569,upstream
720575940630610042,DNp32,720575940660160385,upstream
720575940630610042,DNp32,720575940628592506,upstream
720575940630610042,DNp32,720575940621673852,upstream
720575940630610042,DNp32,720575940605033504,upstream
720575940630610042,DNp32,720575940605410592,upstream
720575940630610042,DNp32,720575940628348265,upstream
720575940630610042,DNp32,720575940617509701,upstream
720575940630610042,DNp32,720575940645106723,upstream
720575940630610042,DNp32,720575940629746176,upstream
720575940630610042,DNp32,720575940632192676,upstream
720575940630610042,DNp32,720575940609970090,upstream
720575940630610042,DNp32,720575940626730115,upstream
720575940630610042,DNp32,720575940629105563,upstream
720575940630610042,DNp32,720575940625952186,upstream
720575940630610042,DNp32,720575940632672156,upstream
720575940630610042,DNp32,720575940633177570,upstream
720575940630610042,DNp32,720575940645771811,upstream
720575940630610042,DNp32,720575940627236410,upstream
720575940630610042,DNp32,720575940629013199,upstream
720575940630610042,DNp32,720575940638879651,upstream
720575940630610042,DNp32,720575940614396778,upstream
720575940630610042,DNp32,720575940623919287,upstream
720575940630610042,DNp32,720575940613338690,upstream
720575940630610042,DNp32,720575940626230780,upstream
720575940630610042,DNp32,720575940619662144,upstream
720575940630610042,DNp32,720575940632417554,upstream
720575940630610042,DNp32,720575940625951946,upstream
720575940630610042,DNp32,720575940657745281,upstream
720575940630610042,DNp32,720575940626043218,upstream
720575940630610042,DNp32,720575940622151704,upstream
720575940630610042,DNp32,720575940636633998,upstream
