neuron_id,neuron_type,partner_id,partner_type,connection_type
720575940619921488,SLP131,720575940607848203,unknown,upstream
720575940619921488,SLP131,720575940630799042,unknown,upstream
720575940619921488,SLP131,720575940608901333,unknown,upstream
720575940619921488,SLP131,720575940627148746,unknown,upstream
720575940619921488,SLP131,720575940619637056,unknown,upstream
720575940619921488,SLP131,720575940626965258,unknown,upstream
720575940619921488,SLP131,720575940618582336,unknown,upstream
720575940619921488,SLP131,720575940629604601,unknown,upstream
720575940619921488,SLP131,720575940627650120,unknown,upstream
720575940619921488,SLP131,720575940630758782,unknown,upstream
720575940619921488,SLP131,720575940621167681,unknown,upstream
720575940619921488,SLP131,720575940638161717,unknown,upstream
720575940619921488,SLP131,720575940623175861,unknown,upstream
720575940619921488,SLP131,720575940605391136,unknown,upstream
720575940619921488,SLP131,720575940631937042,unknown,upstream
720575940619921488,SLP131,720575940616117433,unknown,upstream
720575940619921488,SLP131,720575940622343094,unknown,upstream
720575940619921488,SLP131,720575940631466783,unknown,upstream
720575940619921488,SLP131,720575940630292439,unknown,upstream
720575940619921488,SLP131,720575940630291070,unknown,upstream
720575940619921488,SLP131,720575940608987349,unknown,upstream
720575940619921488,SLP131,720575940628748507,unknown,upstream
720575940619921488,SLP131,720575940615490814,unknown,upstream
720575940619921488,SLP131,720575940606736988,unknown,upstream
720575940619921488,SLP131,720575940620221217,unknown,upstream
720575940619921488,SLP131,720575940627084905,unknown,upstream
720575940619921488,SLP131,720575940614686003,unknown,upstream
720575940619921488,SLP131,720575940610960021,unknown,upstream
720575940619921488,SLP131,720575940625082910,unknown,upstream
720575940619921488,SLP131,720575940660281217,unknown,upstream
720575940619921488,SLP131,720575940629007719,unknown,upstream
720575940619921488,SLP131,720575940614342762,unknown,upstream
720575940619921488,SLP131,720575940627369810,unknown,upstream
720575940619921488,SLP131,720575940623142280,unknown,upstream
720575940619921488,SLP131,720575940635119723,unknown,upstream
720575940619921488,SLP131,720575940635138911,unknown,upstream
720575940619921488,SLP131,720575940621988684,unknown,upstream
720575940619921488,SLP131,720575940630396790,unknown,upstream
720575940619921488,SLP131,720575940627324162,unknown,upstream
720575940619921488,SLP131,720575940617246491,unknown,upstream
720575940619921488,SLP131,720575940615778610,unknown,upstream
720575940619921488,SLP131,720575940613191731,unknown,upstream
720575940619921488,SLP131,720575940629594106,unknown,upstream
720575940619921488,SLP131,720575940630068327,unknown,upstream
720575940619921488,SLP131,720575940625787481,unknown,upstream
720575940619921488,SLP131,720575940630302551,unknown,upstream
720575940619921488,SLP131,720575940620494897,unknown,upstream
720575940619921488,SLP131,720575940629706618,unknown,upstream
720575940619921488,SLP131,720575940615608588,unknown,upstream
720575940619921488,SLP131,720575940632723938,unknown,upstream
720575940619921488,SLP131,720575940632559820,unknown,upstream
720575940619921488,SLP131,720575940625416292,unknown,upstream
720575940619921488,SLP131,720575940618013524,unknown,upstream
720575940619921488,SLP131,720575940614010274,unknown,upstream
720575940619921488,SLP131,720575940641243381,unknown,upstream
720575940619921488,SLP131,720575940621656747,unknown,upstream
720575940619921488,SLP131,720575940613559458,unknown,upstream
720575940619921488,SLP131,720575940636256319,unknown,upstream
720575940619921488,SLP131,720575940617062706,unknown,upstream
720575940619921488,SLP131,720575940614715792,unknown,upstream
720575940619921488,SLP131,720575940626174564,unknown,upstream
720575940619921488,SLP131,720575940639139280,unknown,upstream
720575940619921488,SLP131,720575940595045186,unknown,upstream
720575940619921488,SLP131,720575940606722150,unknown,upstream
720575940619921488,SLP131,720575940639755984,unknown,upstream
720575940619921488,SLP131,720575940640205952,unknown,upstream
720575940619921488,SLP131,720575940625655897,unknown,upstream
720575940619921488,SLP131,720575940618648443,unknown,upstream
720575940619921488,SLP131,720575940618628231,unknown,upstream
720575940619921488,SLP131,720575940613783277,unknown,upstream
720575940619921488,SLP131,720575940605102694,unknown,upstream
720575940619921488,SLP131,720575940615909563,unknown,upstream
720575940619921488,SLP131,720575940636124596,unknown,upstream
720575940619921488,SLP131,720575940627206714,unknown,upstream
720575940619921488,SLP131,720575940635640312,unknown,upstream
720575940619921488,SLP131,720575940625110967,unknown,upstream
720575940619921488,SLP131,720575940622109004,unknown,upstream
720575940619921488,SLP131,720575940629450622,unknown,upstream
720575940619921488,SLP131,720575940629253625,unknown,upstream
720575940619921488,SLP131,720575940629163419,unknown,upstream
720575940619921488,SLP131,720575940622366221,unknown,upstream
720575940619921488,SLP131,720575940631763523,unknown,upstream
720575940619921488,SLP131,720575940631877944,unknown,upstream
720575940619921488,SLP131,720575940631913005,unknown,upstream
720575940619921488,SLP131,720575940628884674,unknown,upstream
720575940619921488,SLP131,720575940628842314,unknown,upstream
720575940619921488,SLP131,720575940632829485,unknown,upstream
720575940619921488,SLP131,720575940604267622,unknown,upstream
