root_id,partner_neuron_id,synapse_count,partner_cell_type,partner_brain_side,connection_type
720575940613891442,720575940611354597,11,PS292,right,downstream
720575940613891442,720575940617557590,11,PS171,right,downstream
720575940613891442,720575940635211115,11,unknown,right,downstream
720575940613891442,720575940622281904,11,LAL124,right,downstream
720575940613891442,720575940614441834,11,LAL099,left,downstream
720575940613891442,720575940644928547,11,VES057,right,downstream
720575940613891442,720575940624323475,11,ExR2,left,downstream
720575940613891442,720575940629702905,11,LAL170,right,downstream
720575940613891442,720575940643551392,11,LAL112,right,downstream
720575940613891442,720575940613039539,11,LAL117,right,downstream
720575940613891442,720575940631542732,11,LAL165,right,downstream
720575940613891442,720575940629961219,11,LAL010,left,downstream
720575940613891442,720575940631365260,11,mALD4,left,downstream
720575940613891442,720575940627577073,11,PVLP092,left,downstream
720575940613891442,720575940631082808,11,MDN,left,downstream
720575940613891442,720575940627787609,11,VES006,left,downstream
720575940613891442,720575940624498439,11,LAL203,right,downstream
720575940613891442,720575940621415133,11,LAL133,left,downstream
720575940613891442,720575940621213556,11,CRE040,right,downstream
720575940613891442,720575940643100301,10,LAL112,right,downstream
720575940613891442,720575940628356102,10,LAL170,left,downstream
720575940613891442,720575940628655554,10,LAL203,left,downstream
720575940613891442,720575940606112940,10,1696530677,right,downstream
720575940613891442,720575940625082969,10,PS196,left,downstream
720575940613891442,720575940634754222,10,"PVLP004,PVLP005",right,downstream
720575940613891442,720575940632803795,10,PPM1205,left,downstream
720575940613891442,720575940610980374,10,"PVLP004,PVLP005",right,downstream
720575940613891442,720575940635867054,10,PS292,left,downstream
720575940613891442,720575940616471052,10,1696530677,left,downstream
720575940613891442,720575940624008974,10,LAL117,right,downstream
720575940613891442,720575940613458403,10,SMP544,left,downstream
720575940613891442,720575940628956636,9,PVLP060,left,downstream
720575940613891442,720575940626654041,9,LAL185,right,downstream
720575940613891442,720575940628357714,9,PS301,left,downstream
720575940613891442,720575940633241169,9,unknown,right,downstream
720575940613891442,720575940622105480,9,unknown,right,downstream
720575940613891442,720575940629229020,9,PS196,right,downstream
720575940613891442,720575940616604817,9,LAL201,left,downstream
720575940613891442,720575940617672226,9,LPsP,right,downstream
720575940613891442,720575940629991788,9,PS171,left,downstream
720575940613891442,720575940626112062,9,LAL014,right,downstream
720575940613891442,720575940641908936,9,"PVLP004,PVLP005",left,downstream
720575940613891442,720575940615954833,9,PS083,right,downstream
720575940613891442,720575940624452902,9,LPsP,left,downstream
720575940613891442,720575940626289021,9,unknown,left,downstream
720575940613891442,720575940629594106,9,mALD3,right,downstream
720575940613891442,720575940625673964,9,unknown,right,downstream
720575940613891442,720575940636807652,9,PVLP060,left,downstream
720575940613891442,720575940609321938,9,LAL186,left,downstream
720575940613891442,720575940621174337,9,1848277193,left,downstream
720575940613891442,720575940621403782,9,LT41,right,downstream
720575940613891442,720575940628805448,9,SMP544,left,downstream
720575940613891442,720575940636561754,9,LAL059,left,downstream
720575940613891442,720575940629664108,9,unknown,left,downstream
720575940613891442,720575940621349908,9,unknown,right,downstream
720575940613891442,720575940614684822,9,LAL022,left,downstream
720575940613891442,720575940607725321,8,LAL119,left,downstream
720575940613891442,720575940621507549,8,1760327095,left,downstream
720575940613891442,720575940623067389,8,LAL051,left,downstream
720575940613891442,720575940624891941,8,"LAL171,LAL172",right,downstream
720575940613891442,720575940635565943,8,unknown,left,downstream
720575940613891442,720575940615084339,8,PS061,right,downstream
720575940613891442,720575940616015956,8,"PVLP004,PVLP005",left,downstream
720575940613891442,720575940615684242,8,LT40,right,downstream
720575940613891442,720575940659019649,8,"LAL171,LAL172",right,downstream
720575940613891442,720575940611935254,8,VES057,left,downstream
720575940613891442,720575940637274852,8,VES046,left,downstream
720575940613891442,720575940623083242,8,unknown,right,downstream
720575940613891442,720575940633011256,8,LAL201,right,downstream
720575940613891442,720575940622920461,8,"PVLP004,PVLP005",right,downstream
720575940613891442,720575940628137713,8,LAL137,right,downstream
720575940613891442,720575940609137500,8,LT42,left,downstream
720575940613891442,720575940627924227,8,"PS294,PS295,PS298",left,downstream
720575940613891442,720575940629439043,8,unknown,left,downstream
720575940613891442,720575940623546549,8,LT40,left,downstream
720575940613891442,720575940619845547,8,ExR2,right,downstream
720575940613891442,720575940624130253,8,LAL128,right,downstream
720575940613891442,720575940615868010,8,PS018,left,downstream
720575940613891442,720575940633396636,8,unknown,left,downstream
720575940613891442,720575940629212887,8,LAL153,left,downstream
720575940613891442,720575940610822513,8,"LAL103,LAL109",left,downstream
720575940613891442,720575940628871546,8,unknown,left,downstream
720575940613891442,720575940631608623,8,LAL193,right,downstream
720575940613891442,720575940625918225,8,PVLP092,left,downstream
720575940613891442,720575940644641696,8,LAL120,left,downstream
720575940613891442,720575940616154527,8,PS239,left,downstream
720575940613891442,720575940638900713,8,PVLP011,right,downstream
720575940613891442,720575940629377132,8,LAL112,left,downstream
720575940613891442,720575940614412906,8,LAL135,right,downstream
720575940613891442,720575940617045516,7,unknown,right,downstream
720575940613891442,720575940624449318,7,SIP087,left,downstream
720575940613891442,720575940630743597,7,LAL196,left,downstream
720575940613891442,720575940618356091,7,LAL117,left,downstream
720575940613891442,720575940607667723,7,LAL142,left,downstream
720575940613891442,720575940626609234,7,LAL165,left,downstream
720575940613891442,720575940643789860,7,LAL169,left,downstream
720575940613891442,720575940627715870,7,PS065,right,downstream
720575940613891442,720575940618965553,7,unknown,left,downstream
720575940613891442,720575940610974577,7,LAL184,right,downstream
720575940613891442,720575940645716771,7,"LAL171,LAL172",left,downstream
720575940613891442,720575940637929956,7,VES074,left,downstream
720575940613891442,720575940607461899,7,LAL043,left,downstream
720575940613891442,720575940620744030,7,"LAL163,LAL164",right,downstream
720575940613891442,720575940626831620,7,PS048,right,downstream
720575940613891442,720575940620918789,7,DNa03,left,downstream
720575940613891442,720575940626006200,7,unknown,left,downstream
720575940613891442,720575940622300429,7,unknown,right,downstream
720575940613891442,720575940605420902,7,SMP164,left,downstream
720575940613891442,720575940647589172,7,LT41,left,downstream
720575940613891442,720575940639355008,7,unknown,left,downstream
720575940613891442,720575940630675151,7,LAL013,left,downstream
720575940613891442,720575940620552308,7,ExR2,left,downstream
720575940613891442,720575940637662894,7,"PVLP004,PVLP005",right,downstream
720575940613891442,720575940624402204,7,LAL049,right,downstream
720575940613891442,720575940626328707,7,DNa01,right,downstream
720575940613891442,720575940627578055,7,LAL120,left,downstream
720575940613891442,720575940637607646,7,LAL041,right,downstream
720575940613891442,720575940621602139,7,PVLP092,right,downstream
720575940613891442,720575940620012923,7,LAL141,right,downstream
720575940613891442,720575940612307554,7,unknown,left,downstream
720575940613891442,720575940626240131,7,LAL076,left,downstream
720575940613891442,720575940623632904,7,LAL014,left,downstream
720575940613891442,720575940629592143,7,LAL185,right,downstream
720575940613891442,720575940608144732,7,2035544474,right,downstream
720575940613891442,720575940628238023,7,LAL011,left,downstream
720575940613891442,720575940623120222,7,LAL100,right,downstream
720575940613891442,720575940634743999,7,AOTU042,left,downstream
720575940613891442,720575940646518382,7,pC1d,left,downstream
720575940613891442,720575940621057702,6,unknown,left,downstream
720575940613891442,720575940607791573,6,unknown,left,downstream
720575940613891442,720575940621716835,6,unknown,right,downstream
720575940613891442,720575940625449474,6,LAL145,left,downstream
720575940613891442,720575940607774044,6,PLP012,right,downstream
720575940613891442,720575940607893193,6,unknown,right,downstream
720575940613891442,720575940616039510,6,unknown,left,downstream
720575940613891442,720575940610558072,6,LAL196,right,downstream
720575940613891442,720575940635341431,6,5812979054,left,downstream
720575940613891442,720575940646068020,6,VES067,right,downstream
720575940613891442,720575940625968792,6,PFGs,right,downstream
720575940613891442,720575940634895514,6,unknown,left,downstream
720575940613891442,720575940623702345,6,2035544474,left,downstream
720575940613891442,720575940608098261,6,unknown,left,downstream
720575940613891442,720575940633208647,6,PS065,left,downstream
720575940613891442,720575940612143075,6,LAL145,right,downstream
720575940613891442,720575940614461014,6,LAL098,right,downstream
720575940613891442,720575940615755147,6,LAL015,left,downstream
720575940613891442,720575940609658377,6,unknown,right,downstream
720575940613891442,720575940633631396,6,OA-VUMa1,center,downstream
720575940613891442,720575940594265751,6,unknown,unknown,downstream
720575940613891442,720575940633315263,6,PS099,left,downstream
720575940613891442,720575940612424362,6,LAL013,right,downstream
720575940613891442,720575940620481240,6,unknown,right,downstream
720575940613891442,720575940631985349,6,unknown,right,downstream
720575940613891442,720575940623911753,6,unknown,left,downstream
720575940613891442,720575940631109858,6,unknown,right,downstream
720575940613891442,720575940607262219,6,unknown,right,downstream
720575940613891442,720575940630128246,6,WED151,left,downstream
720575940613891442,720575940625034170,6,unknown,left,downstream
720575940613891442,720575940637349309,6,"VES051,VES052",right,downstream
720575940613891442,720575940616566996,6,PVLP140,left,downstream
720575940613891442,720575940625032171,6,LAL022,left,downstream
720575940613891442,720575940628903980,6,LAL043,left,downstream
720575940613891442,720575940624982823,6,unknown,left,downstream
720575940613891442,720575940628154364,6,VES015,right,downstream
720575940613891442,720575940613473959,6,"LAL125,LAL108",right,downstream
720575940613891442,720575940628339611,6,LAL017,left,downstream
720575940613891442,720575940629489260,6,LAL072,left,downstream
720575940613891442,720575940619194095,6,LAL133,right,downstream
720575940613891442,720575940618839472,6,unknown,left,downstream
720575940613891442,720575940643919908,6,LAL099,right,downstream
720575940613891442,720575940628695043,6,CRE011,left,downstream
720575940613891442,720575940628702935,6,PVLP060,right,downstream
720575940613891442,720575940628709019,6,unknown,left,downstream
